ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (°/s),GYROSCOPE Y (°/s),GYROSCOPE Z (°/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Mph),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15263.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,11,2015-06-12 12:42:47:698
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15263.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,21,2015-06-12 12:42:47:708
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,32,2015-06-12 12:42:47:719
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,41,2015-06-12 12:42:47:728
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,50,2015-06-12 12:42:47:737
-0.2251,-0.6414,9.9092,-0.1447,-0.6331,9.7851,0.0416,0.0309,-0.0674,-0.15,0.12,-0.21,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,62,2015-06-12 12:42:47:749
0.0142,-0.7819,10.1365,-0.1447,-0.6331,9.7851,0.0722,-0.0086,0.0641,-0.03,0.18,-0.39,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,70,2015-06-12 12:42:47:757
0.0142,-0.7819,10.1365,-0.1447,-0.6331,9.7851,0.0722,-0.0086,0.0641,-0.03,0.18,-0.39,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,80,2015-06-12 12:42:47:767
0.0142,-0.7819,10.1365,-0.1447,-0.6331,9.7851,0.0722,-0.0086,0.0641,-0.03,0.18,-0.39,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,93,2015-06-12 12:42:47:780
0.0142,-0.7819,10.1365,-0.1447,-0.6331,9.7851,0.0722,-0.0086,0.0641,-0.03,0.18,-0.39,15483.0,123.52,77.49,87.72,303.33,3.73,0.9,2.0,812.3,46.516,40.035004,-105.34365,5935.48,NaN,,4.05,38.709675,135.2,15 / 25,101,2015-06-12 12:42:47:788
